,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,,,,,,
0,Rolando Aarons ,Midfielder,4,,,4,100%,,0,1,0,0,,9,12,14,4,1,3,,0,0,41,10.25,0,2,50%,0,1,0,0,1,1,0,0,0,0,0,0,,,,,
1,Abdul Rahman Baba ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Tammy Abraham ,Forward,31,,,10,,,11,1,11,8,,,,,,,,,,1,300,9.68,3,13,,,,0,0,15,9,5,0,4,0,0,0.16,,,,,
3,Charlie Adam ,Midfielder,11,,,9,56%,,3,9,9,5,,40,36,29,12,7,5,,1,0,246,22.36,3,30,27%,3,23,2,1,8,0,0,0,0,0,1,0,,,,,
4,Adrián ,Goalkeeper,19,6,29,,,,,,,,,,,,,,,0,0,0,520,27.37,,,,,174,2,0,1,,0,,,,,,,,,,
5,Adrien Silva ,Midfielder,12,,,22,59%,,5,14,0,0,,58,47,68,6,11,19,,0,1,433,36.08,1,4,0%,3,19,3,0,9,0,0,0,0,0,0,0,,,,,
6,Ibrahim Afellay ,Midfielder,6,,,3,100%,,0,1,1,1,,15,4,5,1,0,0,,0,0,81,13.5,0,0,0%,0,4,1,0,1,0,0,0,0,0,0,0,,,,,
7,Benik Afobe ,Forward,17,,,4,,,4,0,6,5,,,,,,,,,,0,152,8.94,0,2,,,,0,0,9,4,0,0,0,0,0,0,,,,,
8,Sergio Agüero ,Forward,25,,,9,,,20,6,3,1,,,,,,,,,,6,628,25.12,10,16,,,,2,0,10,16,21,5,15,1,3,0.84,,,,,
9,Daniel Agyei ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
10,Soufyan Ahannach ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
11,Ahmed Hegazi ,Defender,38,10,55,58,66%,0,0,60,270,152,1,183,192,145,22,103,84,0,1,0,"1,186",31.21,0,10,30%,1,135,4,0,24,2,2,2,0,0,0,,,,,,
12,Nathan Aké ,Defender,38,6,59,53,60%,2,2,48,229,136,1,178,186,141,10,105,92,0,0,3,"1,589",41.82,2,5,20%,0,86,5,0,27,2,2,0,1,1,1,,,,,,
13,Chuba Akpom ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
14,Alberto Moreno ,Defender,16,6,19,35,74%,0,7,12,39,16,0,69,69,48,6,10,17,0,0,0,783,48.94,0,51,20%,1,35,1,0,8,0,0,0,0,0,0,,,,,,
15,Marc Albrighton ,Midfielder,34,,,52,63%,,11,27,25,11,,172,141,152,52,11,15,,0,7,"1,005",29.56,8,217,18%,11,76,5,1,20,2,2,0,2,0,0,0.06,,,,,
16,Toby Alderweireld ,Defender,14,5,13,19,68%,0,1,4,50,31,0,57,40,45,6,14,29,0,0,0,915,65.36,0,7,29%,1,111,3,0,8,0,0,0,0,0,0,,,,,,
17,Aleix García ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
18,Trent Alexander-Arnold ,Defender,19,6,18,37,68%,0,1,28,39,11,0,133,63,69,20,5,17,0,0,1,"1,007",53,3,102,17%,3,75,3,0,12,3,1,0,1,0,0,,,,,,
19,Ali Gabr ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
20,Allan ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
21,Joe Allen ,Midfielder,36,,,96,65%,,9,58,54,27,,244,225,246,44,36,61,,0,6,"1,358",37.72,4,37,30%,3,44,8,0,49,0,2,0,1,1,0,0.06,,,,,
22,Dele Alli ,Midfielder,36,,,46,65%,,21,19,18,10,,181,202,265,44,30,52,,1,10,"1,251",34.75,16,18,17%,15,39,7,0,43,5,9,0,6,3,1,0.25,,,,,
23,Ryan Allsop ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
24,Marcos Alonso ,Defender,33,12,30,51,65%,0,19,47,60,28,0,193,158,137,17,61,54,0,1,2,"1,347",40.82,4,96,19%,0,39,6,0,26,8,7,2,1,4,0,,,,,,
25,Paulo Alves ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
26,Daniel Amartey ,Defender,8,3,7,8,50%,0,0,7,16,9,0,30,29,21,4,10,7,0,0,0,250,31.25,0,0,0%,0,11,0,1,5,0,0,0,0,0,0,,,,,,
27,Luke Amos ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
28,Ethan Ampadu ,Defender,1,0,1,1,100%,0,0,0,2,1,0,0,2,2,0,1,2,0,0,0,19,19,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,,,,,,
29,Tom Anderson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,Andreas Pereira ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
31,Angel Gomes ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
32,Vurnon Anita ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
33,Michail Antonio ,Forward,21,,,15,60%,,11,13,14,7,,71,139,158,51,43,55,,0,1,385,18.33,1,55,22%,3,22,1,0,17,7,3,0,3,0,0,0.14,,,,,
34,Scott Arfield ,Midfielder,18,,,36,72%,,8,12,20,9,,83,75,101,14,12,31,,0,1,353,19.61,0,8,25%,1,3,3,0,21,1,2,0,1,1,1,0.11,,,,,
35,Giedrius Arlauskis ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
36,Adam Armstrong ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
37,Marko Arnautovic ,Forward,31,,,21,,,17,13,32,19,,,,,,,,,,6,684,22.06,8,61,,,,5,1,35,43,11,0,6,5,5,0.35,,,,,
38,Harry Arter ,Midfielder,13,,,19,84%,,6,9,5,0,,66,44,39,4,6,2,,0,0,586,45.08,0,5,0%,1,37,4,0,9,0,1,0,0,1,0,0.08,,,,,
39,Christian Atsu ,Midfielder,28,,,17,94%,,11,13,20,10,,107,84,165,28,13,68,,0,2,448,16,5,57,11%,1,8,1,0,10,6,2,0,0,2,0,0.07,,,,,
40,Pierre-Emerick Aubameyang ,Forward,13,,,5,,,7,3,7,2,,,,,,,,,,4,317,24.38,1,16,,,,0,0,1,10,10,0,7,3,0,0.77,,,,,
41,Serge Aurier ,Defender,17,6,12,48,56%,1,3,31,48,33,0,89,127,91,15,48,29,0,0,2,776,45.65,5,68,9%,1,26,1,1,21,2,2,1,1,0,0,,,,,,
42,Charlie Austin ,Forward,24,,,7,,,8,1,10,4,,,,,,,,,,0,244,10.17,1,2,,,,2,0,16,14,7,3,4,0,2,0.29,,,,,
43,Jordan Ayew ,Forward,36,,,82,,,26,24,17,10,,,,,,,,,,2,835,23.19,1,45,,,,2,1,63,8,7,1,4,2,4,0.19,,,,,
44,César Azpilicueta ,Defender,37,15,38,80,74%,0,3,54,119,65,1,207,179,114,6,81,55,1,0,6,"2,760",74.59,11,80,19%,10,124,1,0,25,1,2,1,1,0,0,,,,,,
45,Daniel Bachmann ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
46,Badou Ndiaye ,Midfielder,13,,,53,53%,,6,13,17,7,,85,101,81,17,10,10,,0,1,337,25.92,0,4,25%,1,20,5,0,24,2,2,0,2,0,0,0.15,,,,,
47,Eric Bailly ,Defender,13,7,6,17,59%,0,1,25,56,14,0,58,47,30,4,17,8,1,0,0,426,32.77,0,0,0%,1,18,2,0,10,0,1,0,1,0,0,,,,,,
48,Leighton Baines ,Defender,22,5,34,25,52%,0,1,25,47,15,0,87,64,48,8,14,20,0,0,3,754,34.27,4,75,28%,0,28,1,0,7,1,2,0,0,2,0,,,,,,
49,Tiemoué Bakayoko ,Midfielder,29,,,64,64%,,17,37,36,22,,169,164,155,36,40,36,,2,2,"1,108",38.21,1,5,20%,0,44,3,1,50,2,2,1,0,1,1,0.07,,,,,
50,Lewis Baker ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
51,Courtney Baker-Richardson ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
52,Sam Baldock ,Forward,2,,,0,,,0,0,0,0,,,,,,,,,,0,7,3.5,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
53,Beni Baningime ,Midfielder,8,,,6,33%,,0,2,1,0,,9,9,14,1,1,2,,0,0,82,10.25,0,0,0%,0,3,1,0,4,0,0,0,0,0,0,0,,,,,
54,Lewis Banks ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
55,Phil Bardsley ,Defender,13,4,13,17,94%,0,0,22,66,32,1,61,65,67,3,29,27,0,0,0,418,32.15,0,19,37%,0,29,5,0,22,0,0,0,0,0,0,,,,,,
56,Ross Barkley ,Midfielder,2,,,0,0%,,1,0,1,1,,3,8,8,5,2,2,,0,0,50,25,0,2,50%,0,1,0,0,1,0,0,0,0,0,0,0,,,,,
57,Daniel Barlaser ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
58,Ashley Barnes ,Forward,36,,,21,,,9,2,18,12,,,,,,,,,,0,510,14.17,2,16,,,,10,0,53,26,9,1,7,1,0,0.25,,,,,
59,Modou Barrow ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
60,Gareth Barry ,Midfielder,25,,,35,54%,,5,14,32,22,,148,106,112,10,32,36,,0,1,927,37.08,2,28,32%,3,64,4,0,28,1,1,0,0,1,0,0.04,,,,,
61,Kyle Bartley ,Defender,5,0,4,3,67%,0,0,4,21,12,0,3,18,9,0,14,4,0,0,0,115,23,0,0,0%,0,7,2,0,5,0,0,0,0,0,0,,,,,,
62,Michy Batshuayi ,Forward,12,,,5,,,3,1,3,2,,,,,,,,,,1,96,8,0,0,,,,0,0,4,6,2,1,1,0,0,0.17,,,,,
63,Moritz Bauer ,Defender,15,4,18,24,71%,0,2,12,40,15,0,54,74,74,12,19,22,0,0,0,286,19.07,1,39,26%,0,23,4,0,19,1,0,0,0,0,0,,,,,,
64,Jose Baxter ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
65,Jan Bednarek ,Defender,5,1,5,6,50%,0,0,5,27,19,0,28,14,24,0,7,17,0,0,0,181,36.2,0,0,0%,0,8,1,0,3,0,1,0,0,1,0,,,,,,
66,Asmir Begovic ,Goalkeeper,38,6,61,,,,,,,,,,,,,,,0,5,0,945,24.87,,,,,246,2,0,2,,0,,,,,,,,,,
67,Valon Behrami ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
68,Héctor Bellerín ,Defender,35,12,44,57,75%,0,10,23,71,36,2,175,124,170,25,35,59,0,1,3,"1,842",52.63,8,64,16%,7,33,5,0,36,4,2,0,2,0,1,,,,,,
69,Yasin Ben El-Mhanni ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
70,Yohan Benalouane ,Defender,1,0,2,7,43%,0,0,1,4,0,0,5,10,5,0,2,2,0,0,0,27,27,0,3,0%,0,2,0,0,1,1,0,0,0,0,0,,,,,,
71,Christian Benteke ,Forward,31,,,11,,,11,3,43,31,,,,,,,,,,5,672,21.68,3,3,,,,6,0,48,12,3,2,1,0,0,0.1,,,,,
72,Saido Berahino ,Forward,15,,,2,,,2,1,2,0,,,,,,,,,,1,95,6.33,1,4,,,,0,0,6,4,0,0,0,0,0,0,,,,,
73,Steven Berghuis ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
74,Bernardo Silva ,Midfielder,35,,,27,67%,,1,10,10,1,,73,88,84,29,5,14,,0,4,935,26.71,3,50,18%,2,21,0,0,9,0,6,0,1,5,1,0.17,,,,,
75,Ryan Bertrand ,Defender,35,6,49,48,73%,0,7,44,60,28,0,146,141,135,17,44,52,0,0,4,"1,480",42.29,3,136,18%,1,40,2,0,32,1,0,0,0,0,2,,,,,,
76,Muhamed Besic ,Midfielder,2,,,1,100%,,0,0,1,0,,3,5,6,0,2,1,,0,0,28,14,0,0,0%,0,3,0,0,1,0,0,0,0,0,0,0,,,,,
77,Krystian Bielik ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
78,Philip Billing ,Midfielder,16,,,25,64%,,1,18,13,7,,73,60,49,4,25,12,,0,0,371,23.19,1,12,17%,1,16,3,0,14,1,0,0,0,0,0,0,,,,,
79,Mark Birighitti ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
80,Daley Blind ,Defender,7,3,0,6,67%,0,1,7,12,8,0,23,19,19,1,8,6,0,0,0,224,32,1,26,35%,0,11,0,0,4,0,0,0,0,0,0,,,,,,
81,Hiram Boateng ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
82,Jeremie Boga ,Midfielder,1,,,0,0%,,0,0,0,0,,0,0,1,0,0,1,,0,0,4,4,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
83,Adam Bogdan ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
84,Bojan ,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,25,25,0,2,,,,0,0,1,0,0,0,0,0,0,0,,,,,
85,Yannick Bolasie ,Forward,16,,,8,,,3,4,7,3,,,,,,,,,,0,210,13.13,1,53,,,,0,0,12,4,1,0,1,0,0,0.06,,,,,
86,Gaëtan Bong ,Defender,25,6,36,39,82%,0,0,40,71,37,0,140,97,79,16,30,28,1,1,0,772,30.88,0,53,11%,0,38,2,0,16,0,0,0,0,0,0,,,,,,
87,Wilfried Bony ,Forward,15,,,5,,,5,2,15,10,,,,,,,,,,0,208,13.87,0,0,,,,2,0,7,2,2,0,2,0,0,0.13,,,,,
88,Regan Booty ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
89,Borja Bastón ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
90,Cameron Borthwick-Jackson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
91,Artur Boruc ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
92,Sofiane Boufal ,Midfielder,26,,,37,65%,,14,6,6,2,,81,132,137,61,6,13,,0,2,532,20.46,2,40,20%,6,13,1,0,27,2,2,0,1,1,0,0.08,,,,,
93,George Boyd ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
94,Brad Smith ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,Robbie Brady ,Midfielder,15,,,32,66%,,11,7,25,11,,74,68,81,16,9,12,,0,2,454,30.27,3,123,32%,4,31,3,0,20,3,1,0,1,0,1,0.07,,,,,
96,Cohen Bramall ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
97,Brandon Cooper ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
98,Cameron Brannagan ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
99,Claudio Bravo ,Goalkeeper,3,1,1,,,,,,,,,,,,,,,0,0,0,55,18.33,,,,,10,0,0,0,,0,,,,,,,,,,
100,Rhian Brewster ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
101,Miguel Britos ,Defender,12,2,16,15,73%,0,0,12,44,28,0,45,50,35,2,27,19,0,1,0,388,32.33,2,5,20%,0,37,3,1,8,0,1,1,0,0,0,,,,,,
102,Leon Britton ,Midfielder,5,,,6,83%,,0,1,1,1,,19,7,18,0,0,4,,0,0,137,27.4,0,1,0%,0,2,1,0,7,0,0,0,0,0,0,0,,,,,
103,Nathan Broadhead ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
104,Isaiah Brown ,Midfielder,13,,,3,100%,,0,1,2,0,,17,25,43,6,13,24,,0,0,129,9.92,1,7,29%,0,5,0,0,3,1,0,0,0,0,0,0,,,,,
105,Marcus Browne ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
106,Bruno ,Defender,25,8,23,30,57%,0,0,38,60,31,0,116,81,61,15,28,22,0,0,0,973,38.92,0,41,17%,0,62,3,0,19,0,0,0,0,0,0,,,,,,
107,Chris Brunt ,Midfielder,26,,,41,59%,,6,21,40,15,,148,77,65,15,16,15,,0,7,882,33.92,7,139,37%,6,92,5,0,15,0,0,0,0,0,0,0,,,,,
108,Marcin Bulka ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
109,Harry Bunn ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
110,Oliver Burke ,Midfielder,15,,,6,67%,,2,7,2,1,,14,29,38,13,5,7,,0,2,140,9.33,1,9,22%,0,3,0,0,2,0,0,0,0,0,0,0,,,,,
111,Matt Butcher ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
112,Jack Butland ,Goalkeeper,35,6,61,,,,,,,,,,,,,,,1,1,0,"1,169",33.4,,,,,403,0,0,0,,0,,,,,,,,,,
113,George Byers ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
114,Sam Byram ,Defender,5,0,7,9,56%,0,2,9,13,9,0,10,25,17,2,13,8,0,0,0,84,16.8,0,10,30%,0,3,1,0,4,1,0,0,0,0,0,,,,,,
115,Willy Caballero ,Goalkeeper,3,1,4,,,,,,,,,,,,,,,0,0,0,88,29.33,,,,,17,0,0,0,,0,,,,,,,,,,
116,Yohan Cabaye ,Midfielder,31,,,70,63%,,14,79,28,5,,183,109,163,10,6,14,,1,1,"1,293",41.71,5,136,35%,6,62,7,0,35,1,0,0,0,0,2,0,,,,,
117,Tom Cadman ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
118,Gary Cahill ,Defender,27,9,24,29,72%,0,2,27,123,79,0,103,141,61,4,93,31,0,1,0,"1,330",49.26,0,0,0%,0,47,1,1,17,0,0,0,0,0,0,,,,,,
119,Dominic Calvert-Lewin ,Forward,32,,,15,,,10,10,22,13,,,,,,,,,,6,493,15.41,6,19,,,,4,0,43,15,4,2,1,1,0,0.13,,,,,
120,Geoff Cameron ,Midfielder,20,,,34,62%,,1,36,61,23,,89,94,82,14,39,32,,0,0,506,25.3,0,9,0%,0,28,2,0,16,0,0,0,0,0,0,0,,,,,
121,Joel Campbell ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
122,Emre Can ,Midfielder,26,,,67,81%,,5,28,32,20,,196,163,123,24,46,49,,0,4,"1,543",59.35,5,11,45%,11,76,8,0,27,0,3,2,1,0,1,0.12,,,,,
123,Etienne Capoue ,Midfielder,23,,,43,60%,,12,43,35,22,,119,114,99,13,42,23,,0,0,875,38.04,0,4,25%,5,62,3,0,21,1,1,0,1,0,1,0.04,,,,,
124,Baily Cargill ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
125,Michael Carrick ,Midfielder,2,,,1,100%,,1,1,3,0,,17,4,6,2,0,2,,0,0,99,49.5,0,0,0%,1,12,0,0,1,0,0,0,0,0,0,0,,,,,
126,Guido Carrillo ,Forward,7,,,5,,,4,0,5,5,,,,,,,,,,1,123,17.57,0,0,,,,0,0,7,1,0,0,0,0,0,0,,,,,
127,Tom Carroll ,Midfielder,37,,,53,62%,,9,29,15,5,,139,94,108,14,11,21,,1,4,"1,444",39.03,6,129,32%,3,80,3,0,23,1,0,0,0,0,2,0,,,,,
128,Cameron Carter-Vickers ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
